ID,Name,Concepticon_ID,Concepticon_Gloss,Number
1_added,added,,,1
2_all,all,98,ALL,2
3_arm,arm,1673,ARM,3
4_back,back,1291,BACK,4
5_barley,barley,932,BARLEY,5
6_beautiful,beautiful,1427,BEAUTIFUL,6
7_bed,bed,1663,BED,7
8_belt,belt,772,BELT,8
9_big,big,1202,BIG,9
10_black,black,163,BLACK,10
11_blew,blew,,,11
12_blood,blood,946,BLOOD,12
13_boiled,boiled,269,COOKED,13
14_bone,bone,1394,BONE,14
15_bread,bread,1368,BREAD,15
16_breast,breast,1402,BREAST,16
17_brother,brother,1262,BROTHER,17
18_bull,bull,1008,BULL,18
19_cabbage,cabbage,774,CABBAGE,19
20_calfn,calf (n),1989,CALF,20
21_came,came,1446,COME,21
22_camel,camel,1871,CAMEL,22
23_cat,cat,1208,CAT,23
24_cheek,cheek,1730,CHEEK,24
25_chest,chest,1592,CHEST,25
26_child,child,2099,CHILD,26
27_cloud,cloud,1489,CLOUD,27
28_coffee,coffee,1299,COFFEE,28
29_concealed,concealed,,,29
30_cow,cow,1007,COW,30
31_cried,cried,,,31
32_crocodile,crocodile,1857,CROCODILE,32
33_decide,decide,685,DECIDE,33
34_destroy,destroy,681,DESTROY,34
35_dog,dog,2009,DOG,35
36_donkey,donkey,1862,DONKEY,36
37_dreamt,dreamt,,,37
38_dressn,dress (n),474,DRESS,38
39_drink,drink,1401,DRINK,39
40_dryadj,dry (adj),1398,DRY,40
41_ear,ear,1247,EAR,41
42_egg,egg,744,EGG,42
43_eight,eight,1705,EIGHT,43
44_elephant,elephant,1290,ELEPHANT,44
45_evening,evening,1629,EVENING,45
46_eye,eye,1248,EYE,46
47_farmer,farmer,979,FARMER,47
48_father,father,1217,FATHER,48
49_finger,finger,1303,FINGER,49
50_finishv,finish(v),1766,FINISH,50
51_five,five,493,FIVE,51
52_found,found,719,FIND,52
53_four,four,1500,FOUR,53
54_fox,fox,1312,FOX,54
55_friday,friday,1692,FRIDAY,55
56_frog,frog,503,FROG,56
57_full,full,1429,FULL,57
58_garlic,garlic,2368,GARLIC,58
59_giveup,give up,1696,SURRENDER,59
60_goat,goat,1502,GOAT,60
61_griddle,griddle,,,61
62_hair,hair,1040,HAIR,62
63_he,he,1211,HE,63
64_head,head,1256,HEAD,64
65_heart,heart,1223,HEART,65
66_helped,helped,,,66
67_hen,hen,1514,HEN,67
68_his,his,2473,HIS (GENITIVE OF HE),68
69_horse,horse,615,HORSE,69
70_hot,hot,1286,HOT,70
71_how,how,1239,HOW,71
72_hundred,hundred,1634,HUNDRED,72
73_hyena,hyena,1799,HYENA,73
74_insultv,insult (v),3204,INSULT,74
75_job,job,,,75
76_joken,joke (n),3425,JOKE,76
77_king,king,1508,KING,77
78_leg,leg,1297,LEG,78
79_lentil,lentil,3330,LENTILS,79
80_lion,lion,1386,LION,80
81_lip,lip,478,LIP,81
82_louse,louse,1392,LOUSE,82
83_maize,maize,506,MAIZE,83
84_man,man,1554,MAN,84
85_monday,monday,1697,MONDAY,85
86_mule,mule,890,MULE,86
87_neck,neck,1333,NECK,87
88_nine,nine,1483,NINE,88
89_now,now,1376,NOW,89
90_one,one,1493,ONE,90
91_ox,ox,1169,OX,91
92_pea,pea,2025,PEA,92
93_pepper,pepper,1385,PEPPER,93
94_pillow,pillow,1044,PILLOW,94
95_plate,plate,480,PLATE,95
96_porridge,porridge,3651,MUSH (FOOD),96
97_pumpkin,pumpkin,864,PUMPKIN,97
98_rain,rain,2108,RAINING OR RAIN,98
99_red,red,156,RED,99
100_rice,rice,926,RICE,100
101_rich,rich,712,RICH,101
102_road,road,667,ROAD,102
103_salt,salt,1274,SALT,103
104_saturday,Saturday,1700,SATURDAY,104
105_saw,saw,1948,SAW,105
106_seed,seed,714,SEED,106
107_seven,seven,1704,SEVEN,107
108_she,she,1834,SHE,108
109_sheep,sheep,1331,SHEEP,109
110_short,short,1645,SHORT,110
111_six,six,1703,SIX,111
112_smoke,smoke,778,SMOKE (EXHAUST),112
113_snatched,snatched,,,113
114_song,song,1096,SONG,114
115_stone,stone,857,STONE,115
116_stool,stool,2058,STOOL,116
117_sucked,sucked,,,117
118_suddenly,suddenly,2920,SUDDENLY,118
119_sun,sun,1343,SUN,119
120_sunday,sunday,1699,SUNDAY,120
121_sweat,sweat,125,SWEAT (SUBSTANCE),121
122_ten,ten,1515,TEN,122
123_that,that,78,THAT,123
124_then,then,2921,THEN,124
125_they,they,817,THEY,125
126_thick,thick,1244,THICK,126
127_thief,thief,1160,THIEF,127
128_thin,thin,2308,THIN,128
129_this,this,1214,THIS,129
130_three,three,492,THREE,130
131_thursday,thursday,1693,THURSDAY,131
132_time,time,892,TIME,132
133_today,today,1283,TODAY,133
134_tomorrow,tomorrow,1329,TOMORROW,134
135_traveler,traveler,,,135
136_two,two,1498,TWO,136
137_war,war,935,WAR,137
138_water,water,948,WATER,138
139_wednesday,wednesday,1694,WEDNESDAY,139
140_what,what,1236,WHAT,140
141_wheat,wheat,1077,WHEAT,141
142_which,which,727,WHICH,142
143_who,who,1235,WHO,143
144_wideadj,wide (adj),1243,WIDE,144
145_wind,wind,960,WIND,145
146_with,with,1340,WITH,146
147_woman,woman,962,WOMAN,147
148_word,word,1599,WORD,148
149_you,you,1215,THOU,149
150_down,down,1326,DOWN,150
