No	English	added	all	arm	back	barley	beautiful	bed	belt	big	black
40	Tigre	mɨdmǝ4	dǝm1	ħafǝna2	ʔaťɨm1	bani5	ťɨb1	ħu9	wɨhɨr3	ħamle2	ʔɨgal3
41	Tigrigna	nǝfǝsǝ1	dǝm1	sɨga5	ʕaśmi1	bani5	ťub1	ħaw9	ʔarħa6	ħamli2	mɨrax6
42	Wolane	nǝfǝsǝ1	dǝm1	fǝla1	ʔaťɨm1	dabbo1	ťub1	waği8	wɨr3	ʔaml2	ʔɨmbossǝ1
43	Zway	nǝfǝsǝ1	dǝm1	fǝlǝ1	ʔaťɨm1	dabbo1	ťub1	ʔɨɨn2	wɨr3	ʔamɨl2	ʔɨzǝќ5
44	English	came	camel	cat	cheek	chest	child	cloud	coffee	concealed	cow
45	Amharic	mǝťťa1	gɨmǝl1	dɨmmǝt1	gunć1	dǝrǝt1	lɨğ1	dammǝna1	bunna1	dǝbbǝќǝ1	lam1
46	Argobba	mǝťťa1	gamela1	dɨmǝt1	gunče1	gǝngad2	lɨğ1	dǝmǝna1	bunn1	ќoda2	lam1
47	Chaha	čǝnǝ2	gamera1	ʔangača2	danga2	data1	tɨkǝ2	dabǝra1	ќawa2	šemǝ3	ʔǝram1
48	Endegagn	mǝʔa1	gɨmǝl1	ʔangaččǝ2	dangǝ2	dattǝ1	tɨkǝ2	dawǝnǝ1	ќǝwa2	dəʔǝnǝ4	ʔanaw1
49	Ezha	čǝnǝ2	gamera1	ʔangačča2	dangǝ2	dadda1	tɨkǝ2	dabǝra1	buna1	šemǝm3	ʔǝram1
50	Ge'ez	mǝśʔa1	gǝmǝl1	dɨmmǝt1	mǝltaħt3	ʔɨngɨdʔa2	wald3	dǝmmǝna1	bunna1	dǝbǝќǝ1	lahm1
51	Gogot	bǝssam3	gimǝl1	ʔangačča2	danga2	dǝrǝt1	tɨkǝ2	dabǝna1	bunna1	šemǝm3	ʔɨnnam1
52	Gumer	čǝnǝ2	gamera1	ʔangačča2	danga2	datta1	tɨkǝ2	dabǝra1	ќawa2	šemǝm3	ʔǝram1
53	Gura	čǝnǝ2	gamera1	ʔangača2	danga2	fanќa3	tɨkǝ2	dabǝra1	ќawa2	šemǝʔ3	ʔǝram1
54	Gyeto	čǝňǝ2	gamera1	ʔangača2	danga2	dattǝ1	tɨkǝ2	damǝra1	buno1	šemǝ3	ʔɨnzɨr2
55	Harari	diiğa4	gaamǝla1	ʔadurru3	ćaaću1	wazǝna4	wiiğ3	daana1	bun1	šeemǝќa3	laam1
56	Inor	mǝʔa1	gamera1	ʔangača2	gunćǝ1	data1	tɨkǝ2	damǝra1	ќawa2	dǝʔǝrǝʔ4	ʔǝram1
57	Kistane	mǝťťa1	gimǝl1	ʔangača2	gunćǝ1	dǝrǝt1	bayy4	damǝna1	buna1	sǝťǝ3	ʔǝlam1
58	Mesqan	čǝňňǝ2	gamela1	ʔangača2	danga2	hin5	tɨxǝ2	dabǝna1	ќawa2	šemǝ3	ʔǝram1
59	Muher	bǝssam3	gamela1	ʔangača2	gunćǝ1	dadda1	tɨkǝ2	dabǝna1	ќawa2	šǝmǝm3	ʔǝnnam1
60	Oromo	ɗufe5	gaala1	ʔadurre3	mallaa3	laṗpe6	daaʔima5	duumessa1	buna1	ɗokote5	saʔa3
61	Silt'e	mǝťa1	gaameela1	ʔaadǝn3	gunćo1	wǝzǝnǝ4	čɨlo6	dǝbǝna1	buno1	šeeme3	lam1
62	Tigre	mǝśa1	gemǝl1	dɨmmu1	mɨštɨќ4	nɨħǝr7	wǝlad3	dǝbna1	bun1	ʔamʔɨs6	ʔaħa3
63	Tigrigna	mɨśaʔ1	gɨmǝl1	dɨmmu1	nunći1	ʔaflɨbbi8	qwəlʕa7	dǝbǝna1	bun1	ħabʔǝ7	lam1
64	Wolane	mǝťa1	gaameela1	ʔadǝn3	ќǝrќǝčče5	wǝndaab9	weğ1	dabǝna1	buno1	šeme3	lam1
65	Zway	maataa1	gaala1	ʔadurru3	boќoo6	angaabsu10	baayu4	daabaanaa1	buna1	šimi3	lam1
66	English	cried	crocodile	decide	destroy	dog	donkey	dreamt	dress (n)	drink	dry (adj)
67	Amharic	ʔalǝќќǝsǝ1	ʔazzo1	wǝssǝnǝ1	ʔafǝrrǝsǝ1	wɨšša1	ʔahɨyya1	ʔallǝmǝ1	ќǝmis1	ťǝťťa1	dǝrǝќ1
68	Argobba	lǝќќǝsǝ1	ʔazo1	ќorrǝťa2	fǝrrǝsǝ1	wɨša1	ʔahɨya1	mǝnamhanža2	ќemis1	sǝča2	dǝrǝќa1
69	Chaha	bǝkǝm2	zabǝhel2	wǝwǝssɨn1	banǝrǝm2	gɨyǝ2	ʔɨmar2	nǝzǝzǝm3	ќǝmis1	sǝćǝ2	ťǝrǝќ1
70	Endegagn	bekkǝ2	dǝrǝwǝ3	ʔɨğğawɨrt3	bannǝrǝ2	gɨyǝ2	ʔǝwan2	nǝzǝzǝ3	ќǝmis1	seććǝ2	dǝrǝʔ1
71	Ezha	bǝkǝm2	ʔazzo1	fǝnnǝdǝm4	bannǝsǝm2	gɨyyǝ2	ʔɨmar2	nǝzzǝzǝm3	muluʔɨğɨr2	sǝććǝ2	ťǝrǝќ1
72	Ge'ez	śǝrḫa3	ħǝrgǝś4	bǝyyǝnǝ5	ʔafrǝsǝ1	kǝlb3	ʔadg3	ħɨlum1	ќǝmiś1	sǝtyǝ2	yɨbus2
73	Gogot	bǝќќǝm2	ʔazzo1	ʔarraťǝm2	bǝrrǝsǝm1	gɨyǝ2	ʔɨmar2	bɨrǝzzǝzǝm3	lɨbs3	sǝććǝm2	ťǝrǝќ1
74	Gumer	bǝkkyǝm2	ʔazzo1	wǝsnot1	čɨfǝćǝfǝm4	gɨyǝ2	ʔɨmar2	nǝzǝzǝm3	ќǝmis1	sɨťǝ2	ťǝrǝќ1
75	Gura	bǝkǝm2	yǝbarʔawi3	wǝbǝr6	banǝrǝm2	gɨyǝ2	ʔɨmar2	nǝzǝzǝm3	ќambis1	sǝćǝ2	ťɨrǝќ1
76	Gyeto	bǝќǝ2	ʔabaraw3	meʔǝša7	dasǝ3	gɨyǝ2	ʔɨmar2	bǝrzazašǝ3	xuğɨr4	sǝćǝ2	ťǝrǝќ1
77	Harari	bǝќa2	ħaas4	ќooća8	daamǝsa3	buči4	waćǝra4	bɨrzǝzǝšǝ3	bombaay5	sǝča2	dǝrǝќ1
78	Inor	bǝkǝ2	ʔabarʔawi3	wǝssɨn1	banǝrǝ2	gɨyǝ2	ʔɨmar2	nǝzǝzǝ3	mǝrdofa6	sǝćǝ2	dǝrǝʔ1
79	Kistane	bǝššǝm2	ʔazzo1	wowossɨn1	dasǝm3	wɨssa1	ʔǝmar2	bɨrǝzǝzǝ3	dɨrbǝdɨr7	sǝććǝ2	dǝrǝќ1
80	Mesqan	bǝkkǝ2	ʔazzo1	wǝwǝssɨn1	bǝrrǝsǝ1	gɨyǝ2	ʔɨmar2	bɨrǝzzǝzǝ3	ќǝmis1	sǝććǝ2	ťɨrǝќ1
81	Muher	bǝkkyǝm2	ʔazzo1	wǝwǝssɨn1	ʔafǝrrǝsǝm1	gɨyǝ2	ʔɨmar2	nǝzǝzǝm3	ќǝmis1	sǝććǝm2	ťǝrǝʔ1
82	Oromo	booye5	naačča5	murteessu9	barbadeessu5	sare5	harre5	manaabe2	ʔuffata8	ɗuge3	gogaa3
83	Silt'e	bǝče2	wǝro6	ќooče8	dasǝm3	buučo4	ʔuumar2	birǝzǝzǝ3	ќǝmbissǝ1	sǝče2	dǝrǝќ1
84	Tigre	hablǝlǝ6	ʔǝlma7	tɨŠǝrǝtǝ10	ʔafrǝsa1	kǝlɨb3	ʔadɨg3	ħallǝm1	lɨbǝs3	sǝtǝ2	yɨbus2
85	Tigrigna	bǝxǝyǝ2	ħargəś4	wəssənə1	ʔaʕɨnǝwǝ6	kǝlbi3	ʔadgi3	ħalǝmǝ1	qəmɨŠ1	sǝtǝyǝ2	nɨЌwuś2
86	Wolane	bǝče2	ʔazzo1	ќooče8	dasaa3	bučo4	ʔumar2	bɨrǝzǝzǝ3	ќǝmis1	sǝče2	dǝrǝќǝ1
87	Zway	baači2	ʔazzo1	ќuuči8	fǝrǝsǝ1	gɨňi6	ʔumar2	birǝzǝzǝ3	ќǝmis1	sǝči2	dǝrǝќ1
88	English	ear	egg	eight	elephant	evening	eye	farmer	father	finger	finish(v)
89	Amharic	ğoro1	ʔɨnќulal1	sɨmmɨnt1	zɨhon1	mɨššɨt1	ʔayn1	ʔaraaš1	ʔabbat1	ťat1	ćǝrrǝsǝ1
90	Argobba	ğoro1	ʔɨnќulal1	sǝmmɨt1	zǝhon1	mušed1	ʔeen1	ʔaraaš1	ʔaw2	ťad1	ćerrǝsa1
91	Chaha	ʔɨnzɨr2	ʔɨnќwɨra1	sunt1	ǯǝxwǝrǝ1	gǝpat2	ʔen1	čǝwač2	ʔab1	ʔatebǝt1	ğǝpǝrǝ2
92	Endegag	ʔɨnzɨr2	ʔɨnќulǝ1	sunt1	zǝhon1	gǝppaʔa	ʔen1	čowač2	ʔaba1	ʔaťeyǝ1	ğǝppǝrǝ2
93	Ezha	ʔɨnzɨr2	ʔanќwǝ1	šɨmut1	ǯǝxwǝrǝ1	gǝbbat2	ʔen1	čǝwač2	ʔabba1	ʔatebǝt1	fǝğğǝm3
94	Ge'ez	ʔɨzn2	ʔǝnќoќɨho1	sǝmmǝnt	ħǝrmǝz2	mɨset1	ʕayn1	gǝbbar3	ʔab1	ʔaśbaʔɨt1	fǝśśǝmǝ3
95	Gogot	ʔɨnzɨn2	ʔanќwǝ1	sɨmmut1	žǝhona1	ʔorar3	ʔɨn1	ʔaraš1	ʔabba1	ʔaťebǝt1	fǝğğǝm3
96	Gumer	ʔɨnzɨr2	ʔɨnќwɨra1	sɨmwɨt1	ǯǝxwǝrǝ1	gǝppat2	ʔen1	čǝwač2	ʔabba1	ʔatebǝt1	ğǝppǝrǝ2
97	Gura	ʔɨnzɨr2	ʔɨnќwɨra1	sɨmut1	ǯǝxwǝrǝ1	gǝpat2	ʔen1	čǝwač2	ʔab1	ʔaťebǝ1	ğǝpǝrǝ2
98	Gyeto	ʔɨnzɨr2	ʔɨnќura1	suwɨr1	žǝxwǝra1	gǝpat2	ʔayn1	čowač2	ʔab1	ʔaťebǝt1	ğǝppǝrǝ2
99	Harari	ʔuzun2	ʔaќuħ1	suut1	doxon1	mǝšeet1	ʔin1	ħaraaši1	ʔaaw2	ʔaťǝbiňň	ħeelǝdǝ4
100	Inor	ʔɨnzɨr2	ʔɨnќwɨra1	suunt1	ǯǝxwǝrǝ1	gǝpad2	ʔer1	čǝwağ2	ʔaba1	ʔaťeyǝ1	ğǝpǝrǝ2
101	Kistane	ʔɨnzɨn2	ʔanќo1	sǝmmɨnt1	zǝxon1	mɨšǝr1	ʔin1	ʔaraš1	ʔabi1	ʔaťabǝt1	ćǝrrǝsǝ
102	Mesqan	ʔɨnzɨn2	ʔanќwǝ1	sɨmmut1	ǯǝxwǝnǝ1	gǝbbat2	ʔen1	ʔaraš1	ʔab1	ʔaťebǝt1	ǯǝbbǝrǝ2
103	Muher	ʔɨnzɨn2	ʔanќwǝ1	sɨmmut1	zɨxon1	gǝbbat2	ʔen1	čǝwač2	ʔab1	ʔaťebǝt1	fǝğğǝm3
104	Oromo	gurra3	buṗṗa2	saddet2	arba3	galgala4	ʔiğa2	ќoteebula	ʔabbaa1	ќuba3	ťumure5
105	Silt'e	ʔɨzɨn2	buṗṗa2	sǝmut1	dǝxano1	gǝbbat1	ʔiin1	ʔaraaši1	ʔabot1	ʔɨnťabit1	ćeerǝsǝ1
106	Tigre	ʔazǝn2	ʔɨnќoќɨħo1	sǝmǝn1	harmǝz2	mɨse1	ʔɨn1	ħǝrǝstay1	ʔab1	ćɨbʕat2	wǝddǝʔǝ
107	Tigrigna	ʔɨzni2	ʔɨnqwaqwuħ	Šɘmontǝ1	ħarmaz2	mɨŠət1	ʕayni1	ħarǝstay1	ʔabbo1	ʔaśabɨʕti	wǝddǝʔə
108	Wolane	ʔɨzɨn2	ʔɨnќʔot1	summut1	dǝhǝno1	yǝrǝffad	ʔin1	ʔaraš1	ʔabbot1	ʔɨnťabit1	ćeerǝsǝ1
109	Zway	ʔɨzɨn2	ʔɨnќǝќu1	sɨmmut1	dǝhǝno1	mɨšit1	ʔin1	ʔaraaši1	ʔabu1	ʔɨntǝbit1	ʔaćiraaќ
110	English	five	found	four	fox	friday	frog	full	garlic	give up	goat
111	Amharic	ʔamɨst1	ʔagǝňňǝ1	ʔaratt1	ќǝbǝro1	ʔarb1	ʔɨnќurarit1	mulu1	nǝććšɨnkurt1	tǝwǝ1	fɨyyǝl1
112	Argobba	ʔamɨst1	raxǝw2	ʔarbit1	ʔɨnğedelo2	ğumaʔa2	ʔɨnќurarit1	mulu1	zahšunkurt1	tǝwǝ1	fɨyyǝl1
113	Chaha	ʔamɨst1	nǝkǝbǝm2	ʔarbǝt1	ќǝwǝrǝ1	ğimat2	ќwǝnćǝ2	mura1	tumma2	wǝte1	feќ1
114	Endegag	ʔamɨst1	nǝkkǝ2	ʔarwǝʔat1	wǝlake3	ğimʔat2	ќwǝnčǝ2	murʔǝ1	tummǝ2	ʔɨtaʔut1	foňňǝʔ1
115	Ezha	ʔamɨst1	nǝkkǝbǝm2	ʔarbǝt1	ќǝwǝrǝ1	ʔaddarǝ3	ќwǝćǝ2	mura1	tumma2	wǝte1	fɨyǝќ1
116	Ge'ez	ḫǝmś1	rǝkǝbǝ2	ʕǝrbaʔ1	ќwɨnśɨl4	ʕarb1	ќwǝrnǝnǝʕat	mǝlʔǝ1	tummǝ2	ʔabkwǝrǝ	ťali2
117	Gogot	ʔammɨst1	gǝňňǝm1	ʔarbǝt1	gogɨyyǝ5	ʔaddarǝ3	ќwalǝća2	mulǝ1	tumma2	gǝttarǝm	faňňǝ1
118	Gumer	ʔammɨst1	nǝkkǝbǝm2	ʔarβǝt1	ќǝwǝrǝ1	ğɨmat2	ќwǝnćǝ2	mwɨra1	tumma2	tabot1	feќ1
119	Gura	ʔamɨst1	nǝkǝbǝ2	ʔarbǝt1	ќǝwǝrǝ1	ğɨmat2	ќwǝnćǝ2	mura1	tumma2	wǝte1	feќ1
120	Gyeto	ʔamʔɨst1	nǝkǝbǝ2	ʔarbʔat1	ќwǝbǝrǝ1	ğimʔat2	ќwǝnčǝ2	murʔa1	tummǝ2	čaʔǝ4	feќ1
