Grapheme	IPA	Examples	Languages	Frequence	Codepoints
^	NULL				
$	NULL				
ǝ	ə	ќǝbǝtto, dǝbbǝrǝm	Ezha, Gumer, Kistane, Geez, Inor, Muher, Gura, Amharic, Chaha, Endegagn, Gogot, Mesqan, Gyeto, Harari, Argobba, Silte	100	U+01dd
a	a	ʔalga, ʔambɨr	Endegagn, Geez, Gyeto, Chaha, Harari, Argobba, Ezha, Oromo, Gura, Tigre, Inor, Gumer, Gogot, Amharic, Kistane, Tigrigna, Zway, Muher, Mesqan, Wolane, Silte	100	U+0061
ɨ	ɨ	ʔɨnnɨm, ťɨќur	Mesqan, Chaha, Gumer, Amharic, Argobba, Gogot, Gura, Muher, Tigre, Ezha, Tigrigna, Wolane, Inor, Gyeto, Silte, Kistane, Zway, Endegagn, Geez	100	U+0268
^ʔ	ʔ	ʔaťɨm, ʔalga	Endegagn, Chaha, Ezha, Gura, Gumer, Gyeto, Zway, Gogot, Inor, Wolane, Muher, Mesqan, Geez, Oromo, Silte, Kistane, Argobba, Tigre, Harari, Amharic, Tigrigna	100	U+005e U+0294
a$	a	ʔalga, mwǝsa	Argobba, Chaha, Ezha, Oromo, Gogot, Gumer, Amharic, Endegagn, Harari, Inor, Gyeto, Geez, Gura, Muher, Mesqan, Tigrigna, Zway, Wolane, Kistane, Tigre, Silte	100	U+0061 U+0024
r	r	gamera, ʔǝram	Inor, Geez, Chaha, Gura, Gumer, Ezha, Gyeto, Tigrigna, Oromo, Endegagn, Silte, Amharic, Argobba, Mesqan, Harari, Wolane, Gogot, Muher, Zway, Tigre, Kistane	100	U+0072
n	n	ʔangača, danga	Endegagn, Amharic, Argobba, Gura, Silte, Chaha, Tigrigna, Mesqan, Inor, Gumer, Kistane, Ezha, Oromo, Zway, Muher, Gyeto, Gogot, Wolane, Tigre, Geez, Harari	100	U+006e
ǝ$	ə	tɨkǝ, nǝfǝsǝ	Endegagn, Inor, Gyeto, Mesqan, Amharic, Silte, Chaha, Ezha, Gura, Wolane, Zway, Kistane, Geez, Gogot, Muher, Gumer, Tigrigna, Argobba, Tigre	100	U+01dd U+0024
u	u	ťɨќur, ťub	Oromo, Harari, Silte, Tigrigna, Amharic, Argobba, Zway, Wolane, Gyeto, Ezha, Mesqan, Kistane, Gogot, Muher, Tigre, Geez, Gura, Inor, Endegagn, Chaha	100	U+0075
t$	t	ʔamɨst, gǝbbat	Amharic, Geez, Gumer, Argobba, Chaha, Zway, Gogot, Gura, Silte, Gyeto, Ezha, Wolane, Inor, Harari, Tigrigna, Muher, Mesqan, Kistane, Tigre, Oromo, Endegagn	100	U+0074 U+0024
b	b	ќǝbǝtto, ʔambɨr	Oromo, Gura, Wolane, Tigre, Silte, Kistane, Zway, Gogot, Inor, Harari, Geez, Ezha, Tigrigna, Muher, Mesqan, Endegagn, Gumer, Gyeto, Chaha, Amharic	100	U+0062
m	m	ʔambɨr, ʔɨmar	Argobba, Gura, Muher, Mesqan, Inor, Silte, Gyeto, Chaha, Ezha, Endegagn, Gumer, Kistane, Gogot, Wolane, Tigre, Harari, Tigrigna, Oromo, Zway, Geez, Amharic	100	U+006d
r$	r	wɨr, ʔɨmar	Gyeto, Gura, Gumer, Inor, Chaha, Ezha, Mesqan, Kistane, Gogot, Zway, Tigre, Amharic, Argobba, Endegagn, Wolane, Muher, Harari, Silte, Geez, Tigrigna, Oromo	100	U+0072 U+0024
