NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
1	added		
2	all	98	ALL
3	arm	1673	ARM
4	back	1291	BACK
5	barley	932	BARLEY
6	beautiful	1427	BEAUTIFUL
7	bed	1663	BED
8	belt	772	BELT
9	big	1202	BIG
10	black	163	BLACK
11	blew		
12	blood	946	BLOOD
13	boiled	269	COOKED
14	bone	1394	BONE
15	bread	1368	BREAD
16	breast	1402	BREAST
17	brother	1262	BROTHER
18	bull	1008	BULL
19	cabbage	774	CABBAGE
20	calf (n)	1989	CALF
21	came	1446	COME
22	camel	1871	CAMEL
23	cat	1208	CAT
24	cheek	1730	CHEEK
25	chest	1592	CHEST
26	child	2099	CHILD
27	cloud	1489	CLOUD
28	coffee	1299	COFFEE
29	concealed		
30	cow	1007	COW
31	cried		
32	crocodile	1857	CROCODILE
33	decide	685	DECIDE
34	destroy	681	DESTROY
35	dog	2009	DOG
36	donkey	1862	DONKEY
37	dreamt		
38	dress (n)	474	DRESS
39	drink	1401	DRINK
40	dry (adj)	1398	DRY
41	ear	1247	EAR
42	egg	744	EGG
43	eight	1705	EIGHT
44	elephant	1290	ELEPHANT
45	evening	1629	EVENING
46	eye	1248	EYE
47	farmer	979	FARMER
48	father	1217	FATHER
49	finger	1303	FINGER
50	finish(v)	1766	FINISH
51	five	493	FIVE
52	found	719	FIND
53	four	1500	FOUR
54	fox	1312	FOX
55	friday	1692	FRIDAY
56	frog	503	FROG
57	full	1429	FULL
58	garlic	2368	GARLIC
59	give up	1696	SURRENDER
60	goat	1502	GOAT
61	griddle		
62	hair	1040	HAIR
63	he	1211	HE
64	head	1256	HEAD
65	heart	1223	HEART
66	helped		
67	hen	1514	HEN
68	his	2473	HIS (GENITIVE OF HE)
69	horse	615	HORSE
70	hot	1286	HOT
71	how	1239	HOW
72	hundred	1634	HUNDRED
73	hyena	1799	HYENA
74	insult (v)	3204	INSULT
75	job		
76	joke (n)	3425	JOKE
77	king	1508	KING
78	leg	1297	LEG
79	lentil	3330	LENTILS
80	lion	1386	LION
81	lip	478	LIP
82	louse	1392	LOUSE
83	maize	506	MAIZE
84	man	1554	MAN
85	monday	1697	MONDAY
86	mule	890	MULE
87	neck	1333	NECK
88	nine	1483	NINE
89	now	1376	NOW
90	one	1493	ONE
91	ox	1169	OX
92	pea	2025	PEA
93	pepper	1385	PEPPER
94	pillow	1044	PILLOW
95	plate	480	PLATE
96	porridge	3651	MUSH (FOOD)
97	pumpkin	864	PUMPKIN
98	rain	2108	RAINING OR RAIN
99	red	156	RED
100	rice	926	RICE
101	rich	712	RICH
102	road	667	ROAD
103	salt	1274	SALT
104	Saturday	1700	SATURDAY
105	saw	1948	SAW
106	seed	714	SEED
107	seven	1704	SEVEN
108	she	1834	SHE
109	sheep	1331	SHEEP
110	short	1645	SHORT
111	six	1703	SIX
112	smoke	778	SMOKE (EXHAUST)
113	snatched		
114	song	1096	SONG
115	stone	857	STONE
116	stool	2058	STOOL
117	sucked		
118	suddenly	2920	SUDDENLY
119	sun	1343	SUN
120	sunday	1699	SUNDAY
121	sweat	125	SWEAT (SUBSTANCE)
122	ten	1515	TEN
123	that	78	THAT
124	then	2921	THEN
125	they	817	THEY
126	thick	1244	THICK
127	thief	1160	THIEF
128	thin	2308	THIN
129	this	1214	THIS
130	three	492	THREE
131	thursday	1693	THURSDAY
132	time	892	TIME
133	today	1283	TODAY
134	tomorrow	1329	TOMORROW
135	traveler		
136	two	1498	TWO
137	war	935	WAR
138	water	948	WATER
139	wednesday	1694	WEDNESDAY
140	what	1236	WHAT
141	wheat	1077	WHEAT
142	which	727	WHICH
143	who	1235	WHO
144	wide (adj)	1243	WIDE
145	wind	960	WIND
146	with	1340	WITH
147	woman	962	WOMAN
148	word	1599	WORD
149	you	1215	THOU
150	down	1326	DOWN
